App Name,Category,Rating,Reviews,Installs,Size,Price,Content Rating,Last Updated,Minimum Version,Latest Version
DoorDash - Food Delivery,FOOD_AND_DRINK,4.548561573,305034,"5,000,000+",Varies with device,0,Everyone,"March 29, 2019",Varies with device,Varies with device
TripAdvisor Hotels Flights Restaurants Attractions,TRAVEL_AND_LOCAL,4.400671482,1207922,"100,000,000+",Varies with device,0,Everyone,"March 29, 2019",Varies with device,Varies with device
Peapod,SHOPPING,3.656329393,1967,"100,000+",1.4M,0,Everyone,"September 20, 2018",5.0 and up,2.2.0
foodpanda - Local Food Delivery,FOOD_AND_DRINK,4.107232571,389154,"10,000,000+",16M,0,Everyone,"March 22, 2019",4.2 and up,4.18.2
My CookBook Pro (Ad Free),FOOD_AND_DRINK,4.647752285,2291,"10,000+",Varies with device,$5.99,Everyone,"April 1, 2019",Varies with device,Varies with device
Safeway Online Shopping,FOOD_AND_DRINK,3.82532239,2559,"100,000+",23M,0,Everyone,"March 29, 2019",5.0 and up,7.6.0
"Yelp: Food, Shopping, Services Nearby",TRAVEL_AND_LOCAL,4.267267704,421918,"10,000,000+",Varies with device,0,Teen,"March 28, 2019",Varies with device,Varies with device
Talabat: Food Delivery,FOOD_AND_DRINK,4.495084763,142618,"5,000,000+",Varies with device,0,Everyone,"March 31, 2019",Varies with device,Varies with device
Fast Food Locator | Worldwide Fast Food Finder,TRAVEL_AND_LOCAL,3.811764717,85,"10,000+",4.1M,0,Everyone,"February 10, 2019",4.3 and up,2.4
Allrecipes Dinner Spinner,FOOD_AND_DRINK,4.545353413,67514,"5,000,000+",Varies with device,0,Everyone,"March 7, 2019",Varies with device,Varies with device
???????????????????,FOOD_AND_DRINK,4.511622429,28996,"1,000,000+",Varies with device,0,Everyone,"April 2, 2019",4.1 and up,6.6.0
Eat24 Food Delivery & Takeout,FOOD_AND_DRINK,4.325407505,41637,"1,000,000+",Varies with device,0,Everyone,"March 28, 2019",Varies with device,Varies with device
FreshDirect,LIFESTYLE,3.213527918,754,"100,000+",39M,0,Everyone,"March 27, 2019",5.0 and up,6.7
Easy Healthy Recipes for free app,FOOD_AND_DRINK,4.160278797,287,"100,000+",8.1M,0,Everyone,"March 7, 2019",4.0 and up,25.5.0
Domino's Pizza USA,FOOD_AND_DRINK,4.739675045,1177040,"10,000,000+",Varies with device,0,Everyone,"February 26, 2019",Varies with device,Varies with device
iFood - Delivery de Comida,FOOD_AND_DRINK,4.630653858,1282039,"10,000,000+",Varies with device,0,Everyone,"April 2, 2019",Varies with device,Varies with device
Chick-fil-A,FOOD_AND_DRINK,4.374690533,52526,"5,000,000+",19M,0,Everyone,"March 21, 2019",5.0 and up,6.1.0
Kitchen Stories - Recipes & Cooking,FOOD_AND_DRINK,4.614589691,24291,"1,000,000+",Varies with device,0,Everyone,"December 10, 2018",5.0 and up,Varies with device
Seamless: Restaurant Takeout & Food Delivery App,FOOD_AND_DRINK,4.517921925,41597,"1,000,000+",30M,0,Everyone,"March 28, 2019",5.0 and up,7.3
Food Planner,FOOD_AND_DRINK,3.909141541,10764,"1,000,000+",11M,0,Everyone,"April 1, 2019",4.0.3 and up,5.1.3.0-google
Cookpad - Create your own Recipes,FOOD_AND_DRINK,4.514294147,164089,"10,000,000+",11M,0,Everyone,"April 2, 2019",4.4 and up,2.106.4.0-android
Zomato - Restaurant Finder and Food Delivery App,FOOD_AND_DRINK,4.32782793,1521679,"50,000,000+",Varies with device,0,Everyone,"March 23, 2019",Varies with device,Varies with device
Schwan's Food Delivery,SHOPPING,4.248818398,4867,"500,000+",23M,0,Everyone,"November 29, 2018",4.0.3 and up,2.1.2
Google Express - Shopping done fast,SHOPPING,3.813571692,8223,"1,000,000+",14M,0,Everyone,"March 26, 2019",4.2 and up,"v42 (March 15, 2019)"
Amazon Prime Now,SHOPPING,3.924423456,24849,"10,000,000+",38M,0,Teen,"March 15, 2019",5.0 and up,4.17.0
BeyondMenu Food Delivery,FOOD_AND_DRINK,4.689526558,62730,"1,000,000+",15M,0,Everyone,"April 2, 2019",5.0 and up,2.61
Walmart,SHOPPING,4.420088291,467761,"10,000,000+",55M,0,Everyone,"March 28, 2019",Varies with device,19.11
DELISH KITCHEN - ??????????????????,FOOD_AND_DRINK,4.568304539,39280,"1,000,000+",7.8M,0,Everyone,"March 31, 2019",4.1 and up,2.5.7
Grubhub: Local Food Delivery & Restaurant Takeout,FOOD_AND_DRINK,4.397297859,217693,"10,000,000+",30M,0,Everyone,"March 28, 2019",5.0 and up,7.3
